split_id,repeat_id,fold,strategy,model,calibration,best_inner_deviance,alpha,lambda,roc_auc,pr_auc,log_loss,brier,n_test,n_pos_test
1,1,1,ridge_raw,ridge,raw,0.2584377664708753,0,0.060342946977983626,1,1,0.07336765667912733,0.011982532087442372,58,22
1,1,1,ridge_sigmoid,ridge,sigmoid,0.2584377664708753,0,0.060342946977983626,1,1,0.010572000019708,0.0013127335921574658,58,22
1,1,1,ridge_isotonic,ridge,isotonic,0.2584377664708753,0,0.060342946977983626,1,1,0.0069989481899252245,3.827486969060828e-4,58,22
1,1,1,lasso_raw,lasso,raw,0.20784251503170906,1,0.006937972541085129,1,1,0.03892840570464881,0.006215933639059926,58,22
1,1,1,lasso_sigmoid,lasso,sigmoid,0.20784251503170906,1,0.006937972541085129,1,1,0.013532457967680246,0.001668408113079311,58,22
1,1,1,lasso_isotonic,lasso,isotonic,0.20784251503170906,1,0.006937972541085129,1,1,0.013261446858186468,0.0016427856601827786,58,22
1,1,1,enet_raw,enet,raw,0.18398924582761914,0.5,0.008714497914691595,1,1,0.03991126815416993,0.006894655999291135,58,22
1,1,1,enet_sigmoid,enet,sigmoid,0.18398924582761914,0.5,0.008714497914691595,1,1,0.01346844140551853,0.0023731945594700926,58,22
1,1,1,enet_isotonic,enet,isotonic,0.18398924582761914,0.5,0.008714497914691595,1,1,0.017110522164873916,0.0045727154265590075,58,22
2,1,2,ridge_raw,ridge,raw,0.22543508237044693,0,0.04206732639981603,1,1,0.11592675506435586,0.029441594661143978,58,22
2,1,2,ridge_sigmoid,ridge,sigmoid,0.22543508237044693,0,0.04206732639981603,1,1,0.06241379194464003,0.015818658895613305,58,22
2,1,2,ridge_isotonic,ridge,isotonic,0.22543508237044693,0,0.04206732639981603,1,1,0.04251610525966261,0.009959445054916857,58,22
2,1,2,lasso_raw,lasso,raw,0.21311800445032533,1,0.00927639545897692,1,1,0.09384677895797819,0.024195457095728783,58,22
2,1,2,lasso_sigmoid,lasso,sigmoid,0.21311800445032533,1,0.00927639545897692,1,1,0.06827446343295615,0.018219998861458066,58,22
2,1,2,lasso_isotonic,lasso,isotonic,0.21311800445032533,1,0.00927639545897692,1,1,0.05848615151637049,0.01608374944933221,58,22
2,1,2,enet_raw,enet,raw,0.17097623159057837,0.1,0.00994677478906636,1,1,0.0767424352551468,0.018097812359098128,58,22
2,1,2,enet_sigmoid,enet,sigmoid,0.17097623159057837,0.1,0.00994677478906636,1,1,0.04880547598149005,0.010795177979016274,58,22
2,1,2,enet_isotonic,enet,isotonic,0.17097623159057837,0.1,0.00994677478906636,1,1,0.025819810648077316,0.003858894170657767,58,22
3,1,3,ridge_raw,ridge,raw,0.2253043628600473,0,0.046388596130896,0.9933862433862436,0.9906593406593407,0.13288825123759423,0.03367069139870145,57,21
3,1,3,ridge_sigmoid,ridge,sigmoid,0.2253043628600473,0,0.046388596130896,0.9933862433862436,0.9906593406593407,0.09816911945886893,0.03166405214089707,57,21
3,1,3,ridge_isotonic,ridge,isotonic,0.2253043628600473,0,0.046388596130896,0.9907407407407408,0.9885171871779015,0.11128729084789028,0.0326458656190517,57,21
3,1,3,lasso_raw,lasso,raw,0.16509463459954665,1,0.004428016284345585,0.9960317460317462,0.9939182194616977,0.10872605954982499,0.0321770273507361,57,21
3,1,3,lasso_sigmoid,lasso,sigmoid,0.16509463459954665,1,0.004428016284345585,0.9960317460317462,0.9939182194616977,0.10904006373687299,0.035050688623707534,57,21
3,1,3,lasso_isotonic,lasso,isotonic,0.16509463459954665,1,0.004428016284345585,0.9914021164021164,0.9892139183864289,0.12533240144669566,0.04101633703665497,57,21
3,1,3,enet_raw,enet,raw,0.16624723251376514,0.3,0.007695904535325147,0.9960317460317462,0.9939182194616977,0.10001691301577614,0.026691631765153535,57,21
