split_id,strategy,model,feature,selection_freq,stable_selected,mean_jaccard_subsample,mean_k_selected,alpha,lambda
1,enet_raw,enet,worst_concavity,1,1,0.8386081913354319,20.97,0.5,0.008714497914691595
1,enet_raw,enet,worst_concave_points,1,1,0.8386081913354319,20.97,0.5,0.008714497914691595
1,enet_raw,enet,worst_symmetry,1,1,0.8386081913354319,20.97,0.5,0.008714497914691595
1,enet_raw,enet,worst_fractal_dimension,0.1,0,0.8386081913354319,20.97,0.5,0.008714497914691595
2,lasso_raw,lasso,mean_radius,0.06,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,mean_texture,0.53,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,mean_perimeter,0.005,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,mean_area,0.005,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,mean_smoothness,0,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,mean_compactness,0,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,mean_concavity,0.205,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,mean_concave_points,0.9,1,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,mean_symmetry,0,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,mean_fractal_dimension,0.09,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,se_radius,0.91,1,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,se_texture,0.01,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,se_perimeter,0.005,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,se_area,0.025,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,se_smoothness,0.115,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,se_compactness,0.065,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,se_concavity,0,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,se_concave_points,0.025,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,se_symmetry,0.015,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,se_fractal_dimension,0.57,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,worst_radius,0.985,1,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,worst_texture,0.985,1,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,worst_perimeter,0.19,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,worst_area,0.04,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,worst_smoothness,0.88,1,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,worst_compactness,0,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,worst_concavity,0.69,0,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,worst_concave_points,0.99,1,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,worst_symmetry,0.89,1,0.6672351152249112,9.185,1,0.00927639545897692
2,lasso_raw,lasso,worst_fractal_dimension,0,0,0.6672351152249112,9.185,1,0.00927639545897692
2,enet_raw,enet,mean_radius,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,mean_texture,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,mean_perimeter,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,mean_area,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,mean_smoothness,0.865,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,mean_compactness,0.535,0,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,mean_concavity,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,mean_concave_points,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,mean_symmetry,0.73,0,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,mean_fractal_dimension,0.975,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,se_radius,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,se_texture,0.8,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,se_perimeter,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,se_area,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,se_smoothness,0.805,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,se_compactness,0.995,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,se_concavity,0.56,0,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,se_concave_points,0.96,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,se_symmetry,0.84,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,se_fractal_dimension,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,worst_radius,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,worst_texture,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,worst_perimeter,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,worst_area,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,worst_smoothness,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,worst_compactness,0.58,0,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,worst_concavity,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,worst_concave_points,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,worst_symmetry,1,1,0.8882011401166926,27.565,0.1,0.00994677478906636
2,enet_raw,enet,worst_fractal_dimension,0.92,1,0.8882011401166926,27.565,0.1,0.00994677478906636
3,lasso_raw,lasso,mean_radius,0.025,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,mean_texture,0.575,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,mean_perimeter,0.005,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,mean_area,0,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,mean_smoothness,0.055,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,mean_compactness,0.005,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,mean_concavity,0.2,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,mean_concave_points,0.855,1,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,mean_symmetry,0.105,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,mean_fractal_dimension,0.27,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,se_radius,0.88,1,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,se_texture,0.15,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,se_perimeter,0.02,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,se_area,0.005,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,se_smoothness,0.47,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,se_compactness,0.59,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,se_concavity,0.02,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,se_concave_points,0.025,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,se_symmetry,0.105,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,se_fractal_dimension,0.645,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,worst_radius,0.995,1,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,worst_texture,0.975,1,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,worst_perimeter,0.04,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,worst_area,0.015,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,worst_smoothness,0.915,1,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,worst_compactness,0.01,0,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,worst_concavity,0.78,1,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,worst_concave_points,0.98,1,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,worst_symmetry,0.925,1,0.6106143226521378,10.76,1,0.004428016284345585
3,lasso_raw,lasso,worst_fractal_dimension,0.12,0,0.6106143226521378,10.76,1,0.004428016284345585
3,enet_raw,enet,mean_radius,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,mean_texture,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,mean_perimeter,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,mean_area,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,mean_smoothness,0.7,0,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,mean_compactness,0.055,0,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,mean_concavity,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,mean_concave_points,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,mean_symmetry,0.38,0,0.8279519514469672,24.6,0.3,0.007695904535325147
